,Predicted
0,902.661716031666
1,902.822300995758
2,898.6691747552165
3,887.6878929040644
4,869.8062522074008
5,868.397239041112
6,867.7471500558864
7,860.2703357256459
8,860.1360704064771
9,865.1794316216028
10,872.1632164249029
11,862.6771851141514
12,864.1852867065244
13,868.7201415374284
14,872.5433460132109
15,872.9115419727565
16,874.8543755017614
17,862.949741493051
18,824.1651705299306
